original,normalized,website
CENTRAL BEDFORDSHIRE COUNCIL,Central Bedfordshire Council,centralbedfordshire.gov.uk
CENTRAL INTELLECTUAL PROPERTY AND L,Central Intellectual Property,
CENTRED SOLUTIONS LIMITED,Redcentric Solutions Ltd.,redcentricplc.com
CEREDIGION COUNTY COUNCIL,Ceredigion County Council,ceredigion.gov.uk
CERTERO LIMITED,Certero Ltd.,
CEWE LIMITED,Cewe Ltd.,cewe.com
CEWE STIFTUNG & CO. KGAA,Cewe Stiftung & Co. Kgaa,cewe.de
CG COMMERCIAL LIMITED,Sej Commercial Ltd.,
CHAMPNEYS HENLOW LIMITED,Champneys Henlow Ltd.,champneys.com
CHANDLER GARVEY LIMITED,Chandler Garvey Ltd.,
CHANDOS PENSION SCHEME,Chandos Pension Scheme,
CHANGVILLA INVESTMENTS LIMITED,Changvilla Investments Ltd.,
CHANTRY SECURITIES LIMITED,Chantry Securities Ltd.,
CHAPPLE LIMITED,Chapple Ltd.,
CHARFLEETS PROMOTIONS LIMITED,Charfleets Promotions Ltd.,
CHARITIES AID FOUNDATION,Charities Aid Foundation,cafonline.org
CHARNWOOD BOROUGH COUNCIL,Brentwood Borough Council,brentwood.gov.uk
CHASE HERTS LIMITED,Chase Herts Ltd.,
CHAWLAS LIMITED,Chawlas Ltd.,
CHELMSFORD BOROUGH COUNCIL,Chelmsford Borough Council,chelmsford.gov.uk
CHELTENHAM BOROUGH COUNCIL,Cheltenham Borough Council,chelt.gov.uk
CHERRY PROFESSIONAL LIMITED,Cherry Professional Ltd.,
CHERRYTREES DEVELOPMENT COMPANY LIM,Cherrytrees Development Co.,
CHERT ESTATES LIMITED,Caneo Estates Ltd.,cadogan.com
CHERWELL DISTRICT COUNCIL,Cherwell District Council,cherwell.gov.uk
CHESHIRE EAST COUNCIL,Cheshire East Council,cheshireeast.gov.uk
CHESHIRE WEST & CHESTER,Cheshire West & Chester,
CHESTERFIELD BOROUGH COUNCIL,Colchester Borough Council,colchester.gov.uk
CHICHESTER DISTRICT COUNCIL,Chichester District Council,chichesterdc.gov.uk
CHILD GRADDON LEWIS LIMITED,Child Graddon Lewis Ltd.,
CHORLEY BOROUGH COUNCIL,Corby Borough Council,corby.gov.uk
CHOTAI BROTHERS,Chotai Brothers,
CHOTAI PARTNERSHIP LIMITED,Chotai Partnership Ltd.,
CHRISTIAN VISION,Christian Vision,
CHRISTOPHER TAYLOR PROPERTIES LIMIT,Christopher Taylor Properties Ltd.,
CHRISTOPHER TAYLOR SIPP,Christopher Taylor Sip,
CIRCANA GROUP UK LIMITED,Circana Group Ltd.,circana.com
CISION GROUP LIMITED,Cision Group Ltd.,cision.com
CITY ANGEL LIMITED,City Angel Ltd.,
CITY OF CARLISLE COUNCIL,City of Carlisle Council,
CITY OF EDINBURGH COUNCIL,City of Edinburgh Council,edinburgh.gov.uk
CITY OF LINCOLN COUNCIL,City of Lincoln Council,lincoln.gov.uk
CITY OF LONDON,City of London,
CITY OF STOKE ON TRENT,City of Stoke-On-Trent,
CITY OF SUNDERLAND,City of Sunderland,
CITY OF WAKEFIELD M D C,City of Wakefield M D C,
CITY OF WESTMINSTER,City of Westminster,
CITY OF YORK COUNCIL,City of York Council,york.gov.uk
CITYDELL LIMITED,Citydell Ltd.,
CITYMIST SERVICES LIMITED,Citymist Services Ltd.,
CITYWISE 5 LIMITED,Citywise Ltd.,
CIVICA UK LIMITED,Civica UK Ltd.,civica.co.uk
CIVIL AVIATION AUTHORITY,Civil Aviation Authority,caa.gov
CJ RETAIL SOLUTIONS,Cj Retail Solutions,
CJ RETAIL SOLUTIONS GLOBAL LIMITED,Cj Retail Solutions,
CJ SERVICES UK LIMITED,Cj Services UK Ltd.,
CJM ENGINEERING LIMITED,Cjm Engineering Ltd.,
CK ASSOCIATES LTD,Ck Associates Ltd.,
CLACKMANNANSHIRE COUNCIL,Clackmannanshire Council,clacks.gov.uk
CLANCOURT MANAGEMENT LIMITED,Right Management,rightmanagement.com
CLARABRIDGE INC,Clarabride Inc.,
CLARITY LOCUMS,Clarity Locums,
CLAVERTON ESTATES LIMITED,Appleton Estates Ltd.,
CLEAR MANAGEMENT SOLUTIONS LIMITED,Clear Management Solutions Ltd.,
CLEAR VISUAL COMMUNICATIONS LIMITED,Clear Visual Communications Ltd.,
CLEARPAY FINANCE LIMITED,Clearpay Finance Ltd.,clearpay.com
CLEARWATER TECHNOLOGY LIMITED,Clearwater Technology Ltd.,
CLEMENT HERRON COMMERCIAL MANAGEMEN,Clement Herron Commercial Management,
CLINIQUE LABORATORIES LIMITED,Clinique Laboratories Ltd.,clinique.com
CLOUD CARS LIMITED,Cloud Cars Ltd.,
CLUTTONS LLP,Cluttons LLP,cluttons.com
CM POLGE,Cm Polge,
CMAC CABFIND LIMITED,Cmac Cabfind Ltd.,
CNT INVESTMENTS LIMITED,First Investments Ltd.,
COGNIZANT TECHNOLOGY SOLUTIONS UK,Cognizant Worldwide Ltd.,cognizant.com
COGNIZANT WORLDWIDE LIMITED,Cognizant Worldwide Ltd.,cognizant.com
COLCHESTER BOROUGH COUNCIL,Colchester Borough Council,colchester.gov.uk
COLDBROOK VENTURES LIMITED,Coldbrook Ventures Ltd.,
COLENSO PROPERTY SERVICES LLP,Colenso Property Services,
COLL-8 LOGISTICS IRELAND,Coll-8 Logistics,
COLL8 LOGISTICS IRELAND LIMITED,Coll8 Logistics,
COLLIERS BELFAST LIMITED,Colliers International Belfast Ltd.,colliers.com
COLLIERS INTERNATIONAL BELFAST LIMI,Colliers International Belfast Ltd.,colliers.com
COLLIERS INTERNATIONAL PROPERTY,Colliers International Belfast Ltd.,colliers.com
COLLINSON HALL LIMITED T/A HALLS,Collinson Hall Ltd.,
COLOMON PROPERTIES LIMITED,Colomon Properties Ltd.,
COLUMBIA THREADNEEDLE REAL,Columbia Threadneedle,columbiathreadneedle.com
COLUMBUS TRADING PARTNERS GMBH,Columbus Trading Partners Gmbh,
COMHAIRLE NAN EILEAN SIAR,Comhairle Nan Eilean Siar,cne-siar.gov.uk
COMMERCETOOLS GMBH,Commercetools Gmbh,commercetools.com
COMMUNISIS PRINT MANAGEMENT SERVICE,Communisis Print Management Service,
COMMUNITY SOLUTIONS PARTNERSHIP SER,Community Solutions Partnership,
COMPACBRAND LIMITED,Compacbrand Ltd.,
COMPAREX UK LIMITED,Comparex UK Ltd.,comparex.com
COMPROP CI LIMITED,Comprop Ci Ltd.,
COMPUTACENTER UK LIMITED,Computacenter UK Ltd.,computacenter.com
CONCENTRIX TSC UK LIMITED,Concentrix UK Ltd.,concentrix.com
CONCEPTA DIAGNOSTICS LIMITED,Concepta Diagnostics Ltd.,
CONCUR TECHNOLOGIES INC,Concur Technologies Inc.,concur.com
CONFLUENT INC,Confluent Inc.,confluent.io
CONNELLS LIMITED,Connells Ltd.,connells.co.uk
CONTINGENCY RECOVERY ASSOCIATES,Contingency Recovery Associates,
CONWY COUNTY BOROUGH COUNCIL,Conwy County Borough Council,conwy.gov.uk
COOKE AND ARKWRIGHT LIMITED,Cooke & Arkwright Ltd.,
COOL PROJECTS LIMITED,Cool Projects Ltd.,
COOPER AND MCKENZIE LIMITED,Cooper & Mckenzie Ltd.,
COOPER GREEN POOKS,Cooper Green Books,
CORBY BOROUGH COUNCIL,Corby Borough Council,corby.gov.uk
CORE PROPERTY MANAGEMENT,Portland Property Management,
CORE PROPERTY MANAGEMENT AND CONSUL,Core Property Management and Consulting,
CORNERSTONE ONDEMAND INC,Cornerstone Ondemand Inc.,cornerstoneondemand.com
CORNWALL COUNCIL,Cornwall Council,cornwall.gov.uk
COSMETICS EUROPE THE PERSONAL CARE,Cosmetics Europe,
COTSWOLD DISTRICT COUNCIL,Cotswold District Council,cotswold.gov.uk
COTTINGHAM KING STREET HOLDINGS,Cottingham King Street Holdings,
COTTONS PROPERTY CONSULTANTS LLP,Cottons Property Consultants LLP,
COUNTY CONTRACTORS,County Contractors,
COVENTRY CITY COUNCIL,Coventry City Council,coventry.gov.uk
COZMIC SALES PTY LIMITED,Cozmic Sales,
CRADDY PITCHERS LIMITED,Craddy Pitchers Ltd.,
CRANE CENTRE PENSION SCHEME,Crane Centre Pension Scheme,
CRANOVER PROPERTIES LIMITED,Manica Properties Ltd.,
CRAVEN DISTRICT COUNCIL,Wealden District Council,wealden.gov.uk
CRAWLEY BOROUGH COUNCIL,Swale Borough Council,swale.gov.uk
CREATIVE COLLABORATING COMPONENT,Creative Collaborating Component,
CREATORIQ,Creatoriq,creatoriq.com
CRESCENT PROPERTY DEVELOPMENTS,Crescent Property Developments,
CRESTDOWN LIMITED,Crestdown Ltd.,
CRESTHILL PROPERTIES LIMITED,Cresthill Properties Ltd.,
CROSSACRE PROPERTIES LIMITED,Crossacre Properties Ltd.,
CROSSCO 993 LIMITED,Crossco Ltd.,
CROW WATKIN,Crow Watkin,
CROWN WORKSPACE LIMITED,Crown Workspace,
CROYDON COUNCIL,Croydon Council,croydon.gov.uk
CSC DIGITAL BRAND SERVICES UK LIMIT,Csc Digital Brand Services,
CSE CROSSCOM LIMITED,Cse Crosscom Ltd.,
CUBIKS LIMITED,Cubiks Ltd.,
CULLIGAN UK LIMITED,Culligan,culligan.co.uk
CULVERDENE PROPERTIES LIMITED,Culverdene Properties Ltd.,
CURLEYS SUPERMARKETS DUNGANNON LIMI,Curley's Supermarkets,curleys.com
CURRYS GROUP LIMITED,Currys Group Ltd.,currys.co.uk
CURTIS BANKS LIMITED,Curtis Banks Ltd.,curtisbanks.co.uk
CUSHMAN & WAKEFIELD DEBENHAM TIE LE,Cushman & Wakefield,cushmanwakefield.com
CUSHMAN AND WAKEFIELD,Cushman & Wakefield,cushmanwakefield.com
CUSHMAN AND WAKEFIELD DEBENHAM TIE,Cushman & Wakefield,cushmanwakefield.com
CUSHMAN AND WAKEFIELD LLP,Cushman & Wakefield,cushmanwakefield.com
CUSTODIAN PROPERTY INCOME REIT PLC,Custodian Property Income Reit PLC,custodianreit.com
CUSTOM PHARMACEUTICALS LIMITED,Custom Pharmaceuticals Ltd.,
CUTEST SYSTEMS LIMITED,Cutest Systems Ltd.,
CW RESEARCH LIMITED TA CHEMICAL WAT,Cw Research Ltd.,
CWT GLOBAL B.V.,Cwt Global,cwt.com
CYNGOR GWYNEDD COUNCIL,Cyngor Gwynedd Council,glyndwr.ac.uk
D AND R MALHAN,D & R Malhan,
DAB PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
DACORUM BOROUGH COUNCIL,Watford Borough Council,dartford.gov.uk
DALCARNIE LIMITED,Dalcarnie Ltd.,
DALTON WARNER DAVIS LLP,Dalton Warner Davis LLP,
DANFO LIMITED,Hanro Ltd.,hanro.com
DANIEL ALAN UPCRAFT LIMITED,Daniel Alan Upcraft Ltd.,
DANIEL PROPERTY INVESTMENT COMPANY,Daniel Property Investment Co.,
DARLINGTON BOROUGH COUNCIL,Luton Borough Council,luton.gov.uk
DARNTONB3 LIMITED,Darton B Ltd.,
DARTFORD BOROUGH COUNCIL,Watford Borough Council,dartford.gov.uk
"DATABRICKS, INC.",Databricks Inc.,databricks.com
DATIX LIMITED,Datix Ltd.,datix.com
DAVENPORT AND SON LIMITED,Davenport & Son Ltd.,
DAVENTRY DISTRICT COUNCIL,Dover District Council,dover.gov.uk
DAVID DWYER,David Dwyer,
DAVID J HENLEY,David J Henley,
DAVID JOHN COOPER,David John Cooper,
DAVID MENZIES ASSOCIATES,David Menzies Associates,
DAVID R LOGAN,David R Logan,
DAVID SAMUEL ASSET MANAGEMENT LIMIT,David Samuel Asset Management,
DAVID STANLEY COMMERCIALS LIMITED,David Stanley Commercials Ltd.,
DAVID THOMAS PROPERTY LIMITED,David Thomas Property Ltd.,
DAVID WILLIAM WREN & MARGARET MARY,David William Wren & Margaret Mary,
DAVLEA ESTATES LIMITED,Eastville Estates Ltd.,
DDP PROPERTIES SW LIMITED,Ddp Properties Ltd.,
DEAN EMPYREAL LIMITED,Dean Empyreal Ltd.,
DEANNE LTD,Deanne Ltd.,
DEBENHAM PROPERTY TRUST,Debenhams Property Trust,
DEBORAH HEBEL,Deborah Hebel,
DECIDE,Decide,
DEE MARK PROPERTIES LIMITED,Youmar Properties Ltd.,
DEEKAY MANAGEMENT LIMITED,Right Management,rightmanagement.com
DELIVEROO,Deliveroo,deliveroo.com
DELPHIC HOLDINGS LIMITED,Delphic Holdings Ltd.,
DELPHIC HSE SOLUTIONS LIMITED,Delphic Hse Solutions,
DENBIGHSHIRE REVENUE SERVICES,Denbighshire Revenue Services,
DENIS MAHONY CONTRACT RENTALS LIMIT,Denis Mahony Contract Rentals,
DENNEHY AUCTIONEERS,Dennehy Auctioneers,
DENNEMEYER SA,Dennemeyer Sa,dennemeyer.com
DENTONS PENSION MANAGEMENT LIMITED,Dentons Pension Management Ltd.,dentons.com
DENWARD MANUFACTURING LIMITED,Denward Manufacturing Ltd.,
DERBY CITY COUNCIL,Derby City Council,derby.gov.uk
DERBY HILL INVESTMENTS LIMITED,Derby Hill Investments Ltd.,
DERBYSHIRE DALES DISTRICT COUNCIL,Derbyshire Dales District Council,derbyshiredales.gov.uk
DERWENT LONDON PROPERTY MANAGEMENT,Derwent London Property Management,derwentlondon.com
DERYN CONSULTING LIMITED,Deryn Consulting Ltd.,
DESCARTES SYSTEMS UK LIMITED,Descartes Systems UK Ltd.,descartes.com
DEXORY LIMITED,Dexory Ltd.,
DEXRETAIL LIMITED,Dexretail Ltd.,
DG PROPERTY CONSULTANTS,Dg Property Consultants,
DG WHITELAM AND SUSAN PATRICIA WHIT,Dg Whitelam and Susan Patricia White,
DHL INTERNATIONAL UK LIMITED,Dhl Supply Chain Ltd.,dhl.com
DHL PARCEL UK LIMITED,Dhl Parcel UK Ltd.,dhl.co.uk
DHL SUPPLY CHAIN (THAILAND) LIMITED,Dhl Supply Chain Ltd.,dhl.com
DHL SUPPLY CHAIN LIMITED,Dhl Supply Chain Ltd.,dhl.com
DIAMOND FACILITIES SUPPORT LIMITED,Diamond Facilities Support Ltd.,
DIAMOND FACILITIES SUPPORT LTD,Diamond Facilities Support Ltd.,
DICKSON PROPERTIES,Dickson Properties,
DIGITAL APPLICATIONS INTERNATIONAL,Digital Applications International,
DIGITAL MEDIA TECHNOLOGIES LIMITED,Digital Media Technologies Ltd.,
DIMENSION DEVELOPMENT LIMITED,Dimension Development Ltd.,
DIMENSIONS CORPORATEWEAR LIMITED,Dimensions Corporatewear Ltd.,
DINGHAM PROPCO LIMITED,Dingham Propco Ltd.,
DISCLOSURE SCOTLAND,Disclosure Scotland,disclosurescotland.co.uk
DISTINCT RECRUITMENT LIMITED,Distinct Recruitment Ltd.,
DISTRIBUTION ALTERNATIVES INC,Distribution Alternatives Inc.,
DITO DEVELOPMENTS LIMITED,Marlin Developments Ltd.,
DJ FOLEY LIMITED,Dj Foley Ltd.,
DJ LAWSON & PARTNERS LLP,Dj Lawson & Partners,
DKV PROPERTIES LIMITED,Hiroko Properties Ltd.,
DLLT PORTFOLIO LIMITED,Dllt Portfolio Ltd.,
DMW LOGISTICS LIMITED,Dmw Logistics Ltd.,
DO NOT USE - AGIITO LIMITED,Agiito Ltd.,
DOCTORCALL LIMITED,Doctorcall Ltd.,doctorcall.com
DOMELEASE LIMITED,Domelease Ltd.,
DONALD MCSHANE AND MARINA MCSHANE,Donald Mcshane & Marina Mcshane,
DONCASTER COMMUNITY SOLUTIONS,Doncaster Community Solutions,
DONCASTER METROPOLITAN BOROUGH COUN,Rotherham Metropolitan Borough Council,rotherham.gov.uk
DONNINGTON HEALTH CARE LIMITED,Donnington Health Care Ltd.,
DORSET COUNCIL,Dorset Council,dorsetforyou.gov.uk
DOUGLAS COURT MANAGEMENT LIMITED,Douglas Court Management Ltd.,
DOVER DISTRICT COUNCIL,Dover District Council,dover.gov.uk
DOWNTOWN DEVELOPMENTS LIMITED,Downtown Developments Ltd.,
DP PENSIONS LIMITED,Dp Pensions Ltd.,
DR AYMAN M KHALIL,Dr. Ayman M. Khalil,
DR BELSEY & PARTNERS,Dr. Belsey & Partners,
DR C MADAN & DR KUTHIALA,Dr. C. Madan & Dr. Kuthiala,
DR EVE & PARTNERS,Dr. Belsey & Partners,
DR L FREEMAN AND PARTNERS,Dr. L. Freeman & Partners,
DR SM SHAPIRO & DR PA ROSE,Dr. Samuel Shapiro & Dr. Paul Rose,
DR STODDART AND PARTNERS,Dr. Stoddart & Partners,
DRAGON STREET GOODS LIMITED,Dragon Street Goods Ltd.,
DRBS TRUST,Drbs Trust,
DRP UK LIMITED,Drp UK Ltd.,sap.com
DRS WATKINS READ CAMPBELL AND BURMA,Drs Watkins Read Campbell & Burma,
DRS WILLIAMS & MCCARTHY,Drs Williams & Mccarthy,
DRS WINFIELD GARTSIDE MAHER & DUXBU,D. r. s. Winfield Gartsides Maher & Duxbury,
DRUMCARRON PROPERTY LIMITED,Drumcarron Property Ltd.,
DS AND PS PANNU TA PANNU DEVELOPMEN,Ds and Ps Pannu Ta Pannu Development,
DS SMITH PACKAGING LIMITED,Ds Smith Packaging,dssmith.com
DSB CONSTRUCTION CONSULTANTS LIMITE,Dsb Construction Consultants Ltd.,
DT SUB 1 LIMITED,Wk Sub 1 Ltd.,
DTZ MCCOMBE PIERCE CLIENTS ACCOUNT,Dtz Mccombe Pierce,
DTZ SHERRY FITZGERALD CORK LIMITED,Dtz Sherry Fitzgerald Cork Ltd.,
DUBLIN AIRPORT AUTHORITY PLC,Dublin Airport Authority,dublinairport.com
DUCHY OF LANCASTER,Duchy of Lancaster,duchyoflancaster.co.uk
DUCTCLEAN UK LIMITED,Ductclean UK Ltd.,
DUDLEY INFRACARE LIFT 1 LIMITED,Dudley Infracare Lift Ltd.,
DUDLEY METROPOLITAN BOROUGH COUNCIL,Dudley Metropolitan Borough Council,dudley.gov.uk
DUDLEY TAYLOR LIMITED,Dudley Taylor Ltd.,
DUMFRIES AND GALLOWAY COUNCIL,Dumfries & Galloway Council,dumgal.gov.uk
DUMONT BERGMAN BIDER AND CO SC,Dumont Bergman Bider & Co.,
DUNBAR AND SONS BUILDERS LIMITED,Dunbar & Sons Builders Ltd.,
DUNDEE CITY COUNCIL,Dundee City Council,dundee.gov.uk
DUNSMORE ESTATES LIMITED,Swanmore Estates Ltd.,
DUNWOODY AIRLINE SERVICES LIMITED,Dunwoody Airline Services Ltd.,
DURHAM COUNTY COUNCIL,Durham County Council,durham.gov.uk
DUTCH AND DUTCH COMMERCIAL LIMITED,Dutch & Dutch Commercial Ltd.,
DUTCH IMPORTS AND DAUGHTERS LIMITED,Dutch Imports & Daughters Ltd.,
DUTY ACCOUNT,Duty Account,
DVS MANAGEMENT LIMITED,Right Management,rightmanagement.com
DWI CONCEPTS LIMITED,Dwi Concepts Ltd.,
DWR CYMRU CYF,Dwr Cymru Cyf,
DWYER AND HART,Dwyer and Hart,
DX NETWORK SERVICES LIMITED,Dx Network Services Ltd.,dx.co.uk
DXC TECHNOLOGIES,Dxc Technologies,dxc.com
E AND L ESTATES LIMITED,E & L Estates Ltd.,
E ASTON AND SON PENSION FUND,Easton and Son Pension Fund,
E R W PEAK,Erw Peak,
E-PAY LTD,E-Pay Ltd.,
E2OPEN LLC,E2open LLC,e2open.com
EAGLE HOUSE LIMITED,Eagle House Ltd.,
EAGLE PLACE PROPERTIES LIMITED,Eagle Place Properties Ltd.,
EAK SYSTEMS LIMITED TA CLARITY LOCU,Eak Systems Ltd.,
EAST AYRSHIRE COUNCIL,East Ayrshire Council,east-ayrshire.gov.uk
EAST CAMBRIDGESHIRE DISTRICT COUNCI,South Cambridgeshire District Council,eastcambs.gov.uk
EAST DEVON DISTRICT COUNCIL,Wealden District Council,wealden.gov.uk
EAST DUNBARTONSHIRE COUNCIL,West Dunbartonshire Council,eastdunbarton.gov.uk
EAST HAMPSHIRE DISTRICT COUNCIL,East Hertfordshire District Council,eastherts.gov.uk
EAST HERTFORDSHIRE DISTRICT COUNCIL,East Hertfordshire District Council,eastherts.gov.uk
EAST LINDSEY DISTRICT COUNCIL,West Lindsey District Council,westlindsey.gov.uk
EAST LONDON PROPERTY INVESTMENT,East London Property Investment,
EAST LOTHIAN COUNCIL,West Lothian Council,westlothian.gov.uk
EAST NORTHAMPTONSHIRE COUNCIL,North Northamptonshire Council,northnorthamptonshire.gov.uk
EAST OF ENGLAND CO OPERATIVE SOCIET,East of England Co.,eastofengland.coop
EAST RIDING OF YORKSHIRE COUNCIL,East Riding of Yorkshire Council,eastriding.gov.uk
EAST STAFFORDSHIRE BOROUGH COUNCIL,East Staffordshire Borough Council,eaststaffordshire.gov.uk
EAST SUFFOLK COUNCIL,East Suffolk Council,eastsuffolk.gov.uk
EASTBAY LIMITED,Eastbay Ltd.,eastbay.com
EASTBOURNE BOROUGH COUNCIL,Eastbourne Borough Council,eastbourne.gov.uk
EASTLEIGH BOROUGH COUNCIL,Slough Borough Council,slough.gov.uk
EASTVILLE ESTATES LIMITED,Eastville Estates Ltd.,
EASTWOOD AUTOMATICS,Eastwood Automatics,
EASYTRIP SERVICES IRELAND LIMITED,Easytrip Services Ireland Ltd.,
EBIQUITY ASSOCIATES LIMITED,Ebiquity Associates Ltd.,ebiquity.com
EDGELY FAMILY TRUST,Edgely Family Trust,
EDGEPS LIMITED,Edgeps Ltd.,
EDGLEY PROPERTIES LIMITED,Edgley Properties Ltd.,
EDINBURGH AIRPORT LIMITED,Edinburgh Airport Ltd.,edinburghairport.com
EDSON CONSULTING LIMITED,Deryn Consulting Ltd.,
EDWARD D TALBOT,Edward D Talbot,
EDWIN EVANS PROPERTY MANAGEMENT LIM,Edwin Evans Property Management,
EDWIN THOMPSON LLP,Edwin Thompson LLP,
EE LIMITED,Ype Ltd.,ee.co.uk
EFICODE UK LIMITED,Eficode UK Ltd.,eficode.com
EGTON MEDICAL INFORMATION SYSTEMS,Egton Medical Information Systems,egton.net
EHJ PROPERTY LIMITED,Ehj Property Ltd.,
EIRCOM LIMITED TA EIR BUSINESS,Eircom Ltd.,eircom.net
EJ MUSK PROCESS SERVICES SWADLINCOT,Ej Musk Process Services,
ELEMIS LIMITED,Elemis,elemis.com
ELIZABETH ARDEN UK LIMITED,Elizabeth Arden,elizabetharden.com
ELLANATE LIMITED,Ellanate Ltd.,
ELLINSON ESTATES LIMITED,Ellinson Estates Ltd.,
ELLIOT & MARION GODFREY,Elliot & Marion Godfrey,
ELLIS AND PARTNERS BOURNEMOUTH LIMI,Ellis & Partners,
ELMBRIDGE BOROUGH COUNCIL,Elmbridge Borough Council,elmbridge.gov.uk
EMERGENCY CARE GATEWAY LIMITED,Emergency Care Gateway Ltd.,
EMERSON MANAGEMENT SERVICES LIMITED,Boots Opticians,boots.com
EMM S R L,Emm S. r. l.,
ENAMEL STRUCTURES LIMITED,Enamel Structures Ltd.,
ENEL X UK LTD,Enel X UK Ltd.,enelx.com
ENERGY AND SYSTEM TECHNICAL LIMITED,Energy & System Technical Ltd.,
ENERGY ASSETS LIMITED,Energy Assets Ltd.,
ENERGY ASSETS LTD,Energy Assets Ltd.,
ENERGY PRICES DIRECT HOLDINGS LIMIT,Energy Prices Direct Holdings,
ENTERPRISE RENT A CAR UK LIMITED,Enterprise Rent-A-Car,enterprise.com
ENTSERV UK LIMITED,Entserv UK Ltd.,
EON CONTROL SOLUTIONS LIMITED,Eon Control Solutions Ltd.,eoncontrols.com
EON CONTROL SOLUTIONS LTD,Eon Control Solutions Ltd.,eoncontrols.com
EPI USE LABS LIMITED,Epi Use Labs Ltd.,
"EPI-USE AMERICA, INC.",Epi-Use America,epiuse.com
EPPING FOREST DISTRICT COUNCIL,New Forest District Council,eppingforestdc.gov.uk
EPSOM AND EWELL BOROUGH COUNCIL,Epsom & Ewell Borough Council,epsom-ewell.gov.uk
EPSOM ASHLEY SARL,Epsom Ashley,
EREWASH BOROUGH COUNCIL,Erewash Borough Council,erewash.gov.uk
ERNEST V WADDINGTON LTD,Ernest V Waddington Ltd.,
ERNST & YOUNG LLPPNC BANK C/O ERNST & YOUNG US,Ernst & Young LLP,ey.com
ERNST AND YOUNG LLP,Ernst & Young LLP,ey.com
ESB INDEPENDENT ENERGY LIMITED,Esb Independent Energy,esb.ie
ESB RECRUITMENT 2011 LIMITED,Esb Recruitment,
ESENDEX LIMITED,Esendex Ltd.,esendex.com
ESIFT LIMITED,Esift Ltd.,
ESS GEE INVESTMENTS LIMITED,Ess Gee Investments Ltd.,
ESSENCEMEDIACOM AUSTRALIA PTY,Essence Media Com Australia Pty,
ESSENCEMEDIACOM IRELAND LIMITED,Essence Mediacom Ireland Ltd.,essencemediacom.com
ESSENCEMEDICOM HOLDINGS LIMITED,Essence Medicom Holdings Ltd.,
ESTAMA GROUP LIMITED,Estama Group Ltd.,
ESTAMA UK LIMITED,Estama Group Ltd.,
ESTEE LAUDER,Estee Lauder,esteelauder.com
EUROFINS FORENSIC SERVICES LTD,Eurofins Forensic Services,eurofins.com
EUROMONITOR INTERNATIONAL LIMITED,Euromonitor International,euromonitor.com
EUROPEAN UNION INTELLECTUAL,European Union Intellectual,
EUROPEAN VISION LIMITED,European Vision Ltd.,
EV CARGO GLOBAL FORWARDING LIMITED,Ev Cargo Global Forwarding Ltd.,evcargo.com
EVANDER GLAZING AND LOCKS LIMITED,Evander Glazing & Locks Ltd.,
EVELYN TERRACE LIMITED,Evelyn Terrace Ltd.,
EVERINGHAM DESIGN LIMITED,Everingham Design Ltd.,
EVERLASTING PROPERTY COMPANY LIMITE,Everlasting Property Co. Ltd.,
EXECUTORS OF THE LATE JAMES BOYD TA,Executors of the Late James Boyd,
EXETER CITY COUNCIL,Leicester City Council,leicester.gov.uk
EXPERIAN UK LIMITED,Experian,experian.co.uk
EXPERT LOCUMS RECRUITMENT LIMITED,Expert Locums Recruitment,expertlocums.com
EY UK&I LLP,Ernst & Young LLP,ey.com
FAAC ENTRANCE SOLUTIONS UK LIMITED,Faac Entrance Solutions,faac.com
FABULOUSLY SCOTTISH PROPERTY COMPAN,Fabulously Scottish Property Co.,
FAIRDALE PROPERTY TRADING LIMITED,Fairdale Property Trading Ltd.,
FALCON AM LIMITED,Falcon Am Ltd.,
FALKIRK COUNCIL,Falkirk Council,falkirk.gov.uk
FAMAR AVE,Famar Ave,
FAREHAM BOROUGH COUNCIL,Fareham Borough Council,fareham.gov.uk
FASU MIAH,Fasu Miah,
FEDERATION OF OPHTHALMIC & DISPENSI,Federation of Ophthalmic Dispensing,
FEDEX EXPRESS UK LIMITED,Fedex Express,fedex.com
FEDEX EXPRESS UK TRANSPORTATION LIM,Fedex Express,fedex.com
FEEDONOMICS,Feedonomics,feedonomics.com
FEN BAY SERVICES LIMITED,Fen Bay Services Ltd.,
FENLAND DISTRICT COUNCIL,Mendip District Council,mendip.gov.uk
FERO RETAIL MARKETING LIMITED,Fero Retail Marketing Ltd.,
FGS GLOBAL UK LIMITED,Fgs Global Ltd.,
FIBREVALE LIMITED,Fibrevale Ltd.,
FIELDFISHER LLP,Fieldfisher LLP,fieldfisher.com
FIFE COUNCIL,Fife Council,fifecouncil.gov.uk
FIGMA INC,Figma Inc.,figma.com
FILLCARE LIMITED,Fillcare Ltd.,
FINEMATCH LIMITED,Finematch Ltd.,
FIRESTONE INVESTMENTS LIMITED,First Investments Ltd.,
FIRMINGERS,Firmingers,
FIRMINGERS LLP,Firmingers LLP,
FIRST INVESTMENTS LIMITED,First Investments Ltd.,
FISHER GERMAN PROPERTY MANAGEMENT L,Fisher German Property Management,
FISHER HARGREAVES PROCTOR LIMITED,Fisher Hargreaves Proctor Ltd.,fhhp.ltd.uk
FITSKIN INC,Fitskin Inc.,
FLANAGAN SECURITIES LIMITED,Flanagan Securities Ltd.,
FLARAY LIMITED,Flaray Ltd.,
